"RCPs","meanTotalDiscount","errorDiscount","meanFutureValue","errorFutureValue"
"rcp26",-20.9569586410127,113.362896273977,-946003.316412739,229927.122157359
"rcp60",-55.8118114156763,83.1378214315177,-1508338.48514433,237154.68392689
"rcp85",-417.920222331163,222.285142676002,-3438853.01958523,614109.133250574
