"lakemodel","GCM","RCP","Year","MeanLatitude","MinimumLatitude"
"albm","gfdl-esm2m","rcp26",1901,57.5986553499905,30.25
"albm","gfdl-esm2m","rcp60",1901,57.5986553499905,30.25
"albm","gfdl-esm2m","rcp85",1901,57.5986553499905,30.25
"albm","hadgem2-es","rcp26",1901,58.1637005649717,30.25
"albm","hadgem2-es","rcp60",1901,58.1637005649717,30.25
"albm","hadgem2-es","rcp85",1901,58.1637005649717,30.25
"albm","ipsl-cm5a-lr","rcp26",1901,57.6932412590621,30.25
"albm","ipsl-cm5a-lr","rcp60",1901,57.6932412590621,30.25
"albm","ipsl-cm5a-lr","rcp85",1901,57.6932412590621,30.25
"albm","miroc5","rcp26",1901,58.0251690458302,30.25
"albm","miroc5","rcp60",1901,58.0251690458302,30.25
"albm","miroc5","rcp85",1901,58.0251690458302,30.25
"clm45","gfdl-esm2m","rcp26",1901,55.7137451042659,30.25
"clm45","gfdl-esm2m","rcp60",1901,55.7137451042659,30.25
"clm45","gfdl-esm2m","rcp85",1901,55.7137451042659,30.25
"clm45","hadgem2-es","rcp26",1901,56.4864781172585,30.25
"clm45","hadgem2-es","rcp60",1901,56.4864781172585,30.25
"clm45","hadgem2-es","rcp85",1901,56.4864781172585,30.25
"clm45","ipsl-cm5a-lr","rcp26",1901,55.8884155455904,30.25
"clm45","ipsl-cm5a-lr","rcp60",1901,55.8884155455904,30.25
"clm45","ipsl-cm5a-lr","rcp85",1901,55.8884155455904,30.25
"clm45","miroc5","rcp26",1901,56.3458438023451,30.25
"clm45","miroc5","rcp60",1901,56.3458438023451,30.25
"clm45","miroc5","rcp85",1901,56.3458438023451,30.25
"lake","gfdl-esm2m","rcp26",1901,56.0224176197749,30.2499923706055
"lake","gfdl-esm2m","rcp60",1901,56.0224176197749,30.2499923706055
"lake","gfdl-esm2m","rcp85",1901,56.0224176197749,30.2499923706055
"lake","hadgem2-es","rcp26",1901,57.1957240151323,30.2499923706055
"lake","hadgem2-es","rcp60",1901,57.1957240151323,30.2499923706055
"lake","hadgem2-es","rcp85",1901,57.1957240151323,30.2499923706055
"lake","ipsl-cm5a-lr","rcp26",1901,56.1485994324778,30.2499923706055
"lake","ipsl-cm5a-lr","rcp60",1901,56.1485994324778,30.2499923706055
"lake","ipsl-cm5a-lr","rcp85",1901,56.1485994324778,30.2499923706055
"lake","miroc5","rcp26",1901,56.7561017996712,30.2499923706055
"lake","miroc5","rcp60",1901,56.7561017996712,30.2499923706055
"simstrat-uog","gfdl-esm2m","rcp26",1901,57.262070610687,30.25
"simstrat-uog","gfdl-esm2m","rcp60",1901,57.262070610687,30.25
"simstrat-uog","gfdl-esm2m","rcp85",1901,57.262070610687,30.25
"simstrat-uog","hadgem2-es","rcp26",1901,57.5856516768293,30.25
"simstrat-uog","hadgem2-es","rcp60",1901,57.5856516768293,30.25
"simstrat-uog","hadgem2-es","rcp85",1901,57.5856516768293,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp26",1901,57.0018786264625,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp60",1901,57.0018786264625,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp85",1901,57.0018786264625,30.25
"simstrat-uog","miroc5","rcp26",1901,57.4242025098189,30.25
"simstrat-uog","miroc5","rcp60",1901,57.4242025098189,30.25
"simstrat-uog","miroc5","rcp85",1901,57.4242025098189,30.25
"albm","gfdl-esm2m","rcp26",1902,57.7557237813885,30.25
"albm","gfdl-esm2m","rcp60",1902,57.7557237813885,30.25
"albm","gfdl-esm2m","rcp85",1902,57.7557237813885,30.25
"albm","hadgem2-es","rcp26",1902,58.089919279144,30.25
"albm","hadgem2-es","rcp60",1902,58.089919279144,30.25
"albm","hadgem2-es","rcp85",1902,58.089919279144,30.25
"albm","ipsl-cm5a-lr","rcp26",1902,57.7168641243984,30.25
"albm","ipsl-cm5a-lr","rcp60",1902,57.7168641243984,30.25
"albm","ipsl-cm5a-lr","rcp85",1902,57.7168641243984,30.25
"albm","miroc5","rcp26",1902,58.263570511645,30.25
"albm","miroc5","rcp60",1902,58.263570511645,30.25
"albm","miroc5","rcp85",1902,58.263570511645,30.25
"clm45","gfdl-esm2m","rcp26",1902,55.2200628514721,30.25
"clm45","gfdl-esm2m","rcp60",1902,55.2200628514721,30.25
"clm45","gfdl-esm2m","rcp85",1902,55.2200628514721,30.25
"clm45","hadgem2-es","rcp26",1902,55.6258263552226,30.25
"clm45","hadgem2-es","rcp60",1902,55.6258263552226,30.25
"clm45","hadgem2-es","rcp85",1902,55.6258263552226,30.25
"clm45","ipsl-cm5a-lr","rcp26",1902,55.2046375266525,30.25
"clm45","ipsl-cm5a-lr","rcp60",1902,55.2046375266525,30.25
"clm45","ipsl-cm5a-lr","rcp85",1902,55.2046375266525,30.25
"clm45","miroc5","rcp26",1902,56.0750849617672,30.25
"clm45","miroc5","rcp60",1902,56.0750849617672,30.25
"clm45","miroc5","rcp85",1902,56.0750849617672,30.25
"lake","gfdl-esm2m","rcp26",1902,55.9388251427716,30.2499923706055
"lake","gfdl-esm2m","rcp60",1902,55.9388251427716,30.2499923706055
"lake","gfdl-esm2m","rcp85",1902,55.9388251427716,30.2499923706055
"lake","hadgem2-es","rcp26",1902,57.1127343739725,30.2499923706055
"lake","hadgem2-es","rcp60",1902,57.1127343739725,30.2499923706055
"lake","hadgem2-es","rcp85",1902,57.1127343739725,30.2499923706055
"lake","ipsl-cm5a-lr","rcp26",1902,56.5542025637045,30.2499923706055
"lake","ipsl-cm5a-lr","rcp60",1902,56.5542025637045,30.2499923706055
"lake","ipsl-cm5a-lr","rcp85",1902,56.5542025637045,30.2499923706055
"lake","miroc5","rcp26",1902,57.1047706341907,30.2499923706055
"lake","miroc5","rcp60",1902,57.1047706341907,30.2499923706055
"simstrat-uog","gfdl-esm2m","rcp26",1902,56.9493269230769,30.25
"simstrat-uog","gfdl-esm2m","rcp60",1902,56.9493269230769,30.25
"simstrat-uog","gfdl-esm2m","rcp85",1902,56.9493269230769,30.25
"simstrat-uog","hadgem2-es","rcp26",1902,57.4361559139785,30.25
"simstrat-uog","hadgem2-es","rcp60",1902,57.4361559139785,30.25
"simstrat-uog","hadgem2-es","rcp85",1902,57.4361559139785,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp26",1902,57.0983834480158,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp60",1902,57.0983834480158,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp85",1902,57.0983834480158,30.25
"simstrat-uog","miroc5","rcp26",1902,57.9752576849403,30.25
"simstrat-uog","miroc5","rcp60",1902,57.9752576849403,30.25
"simstrat-uog","miroc5","rcp85",1902,57.9752576849403,30.25
"albm","gfdl-esm2m","rcp26",1903,57.9641295435911,30.25
"albm","gfdl-esm2m","rcp60",1903,57.9641295435911,30.25
"albm","gfdl-esm2m","rcp85",1903,57.9641295435911,30.25
"albm","hadgem2-es","rcp26",1903,57.8102265401971,30.25
"albm","hadgem2-es","rcp60",1903,57.8102265401971,30.25
"albm","hadgem2-es","rcp85",1903,57.8102265401971,30.25
"albm","ipsl-cm5a-lr","rcp26",1903,57.662346751617,30.25
"albm","ipsl-cm5a-lr","rcp60",1903,57.662346751617,30.25
"albm","ipsl-cm5a-lr","rcp85",1903,57.662346751617,30.25
"albm","miroc5","rcp26",1903,58.7060361638007,30.25
"albm","miroc5","rcp60",1903,58.7060361638007,30.25
"albm","miroc5","rcp85",1903,58.7060361638007,30.25
"clm45","gfdl-esm2m","rcp26",1903,55.1632903789451,30.25
"clm45","gfdl-esm2m","rcp60",1903,55.1632903789451,30.25
"clm45","gfdl-esm2m","rcp85",1903,55.1632903789451,30.25
"clm45","hadgem2-es","rcp26",1903,55.5561734965407,30.25
"clm45","hadgem2-es","rcp60",1903,55.5561734965407,30.25
"clm45","hadgem2-es","rcp85",1903,55.5561734965407,30.25
"clm45","ipsl-cm5a-lr","rcp26",1903,54.6583166921179,30.25
"clm45","ipsl-cm5a-lr","rcp60",1903,54.6583166921179,30.25
"clm45","ipsl-cm5a-lr","rcp85",1903,54.6583166921179,30.25
"clm45","miroc5","rcp26",1903,56.3628280474212,30.25
"clm45","miroc5","rcp60",1903,56.3628280474212,30.25
"clm45","miroc5","rcp85",1903,56.3628280474212,30.25
"lake","gfdl-esm2m","rcp26",1903,56.472976285104,30.2499923706055
"lake","gfdl-esm2m","rcp60",1903,56.472976285104,30.2499923706055
"lake","gfdl-esm2m","rcp85",1903,56.472976285104,30.2499923706055
"lake","hadgem2-es","rcp26",1903,56.4584643989529,30.2499923706055
"lake","hadgem2-es","rcp60",1903,56.4584643989529,30.2499923706055
"lake","hadgem2-es","rcp85",1903,56.4584643989529,30.2499923706055
"lake","ipsl-cm5a-lr","rcp26",1903,55.3030064282657,30.2499923706055
"lake","ipsl-cm5a-lr","rcp60",1903,55.3030064282657,30.2499923706055
"lake","ipsl-cm5a-lr","rcp85",1903,55.3030064282657,30.2499923706055
"lake","miroc5","rcp26",1903,57.6152910296871,30.2499923706055
"lake","miroc5","rcp60",1903,57.6152910296871,30.2499923706055
"simstrat-uog","gfdl-esm2m","rcp26",1903,56.8738196184236,30.25
"simstrat-uog","gfdl-esm2m","rcp60",1903,56.8738196184236,30.25
"simstrat-uog","gfdl-esm2m","rcp85",1903,56.8738196184236,30.25
"simstrat-uog","hadgem2-es","rcp26",1903,57.22558356676,30.25
"simstrat-uog","hadgem2-es","rcp60",1903,57.22558356676,30.25
"simstrat-uog","hadgem2-es","rcp85",1903,57.22558356676,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp26",1903,56.708804119588,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp60",1903,56.708804119588,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp85",1903,56.708804119588,30.25
"simstrat-uog","miroc5","rcp26",1903,58.083018018018,30.25
"simstrat-uog","miroc5","rcp60",1903,58.083018018018,30.25
"simstrat-uog","miroc5","rcp85",1903,58.083018018018,30.25
"albm","gfdl-esm2m","rcp26",1904,57.6662624821683,30.25
"albm","gfdl-esm2m","rcp60",1904,57.6662624821683,30.25
"albm","gfdl-esm2m","rcp85",1904,57.6662624821683,30.25
"albm","hadgem2-es","rcp26",1904,57.3028479154433,30.25
"albm","hadgem2-es","rcp60",1904,57.3028479154433,30.25
"albm","hadgem2-es","rcp85",1904,57.3028479154433,30.25
"albm","ipsl-cm5a-lr","rcp26",1904,57.9215205824699,30.25
"albm","ipsl-cm5a-lr","rcp60",1904,57.9215205824699,30.25
"albm","ipsl-cm5a-lr","rcp85",1904,57.9215205824699,30.25
"albm","miroc5","rcp26",1904,57.526190011705,30.25
"albm","miroc5","rcp60",1904,57.526190011705,30.25
"albm","miroc5","rcp85",1904,57.526190011705,30.25
"clm45","gfdl-esm2m","rcp26",1904,55.1529800203183,30.25
"clm45","gfdl-esm2m","rcp60",1904,55.1529800203183,30.25
"clm45","gfdl-esm2m","rcp85",1904,55.1529800203183,30.25
"clm45","hadgem2-es","rcp26",1904,54.9211095921622,30.25
"clm45","hadgem2-es","rcp60",1904,54.9211095921622,30.25
"clm45","hadgem2-es","rcp85",1904,54.9211095921622,30.25
"clm45","ipsl-cm5a-lr","rcp26",1904,54.8489949748744,30.25
"clm45","ipsl-cm5a-lr","rcp60",1904,54.8489949748744,30.25
"clm45","ipsl-cm5a-lr","rcp85",1904,54.8489949748744,30.25
"clm45","miroc5","rcp26",1904,54.8469405493105,30.25
"clm45","miroc5","rcp60",1904,54.8469405493105,30.25
"clm45","miroc5","rcp85",1904,54.8469405493105,30.25
"lake","gfdl-esm2m","rcp26",1904,55.7986247619345,30.2499923706055
"lake","gfdl-esm2m","rcp60",1904,55.7986247619345,30.2499923706055
"lake","gfdl-esm2m","rcp85",1904,55.7986247619345,30.2499923706055
"lake","hadgem2-es","rcp26",1904,55.6680652205997,30.2499923706055
"lake","hadgem2-es","rcp60",1904,55.6680652205997,30.2499923706055
"lake","hadgem2-es","rcp85",1904,55.6680652205997,30.2499923706055
"lake","ipsl-cm5a-lr","rcp26",1904,56.4684852959098,30.2499923706055
"lake","ipsl-cm5a-lr","rcp60",1904,56.4684852959098,30.2499923706055
"lake","ipsl-cm5a-lr","rcp85",1904,56.4684852959098,30.2499923706055
"lake","miroc5","rcp26",1904,54.9266356379954,30.2499923706055
"lake","miroc5","rcp60",1904,54.9266356379954,30.2499923706055
"simstrat-uog","gfdl-esm2m","rcp26",1904,57.2062679425837,30.25
"simstrat-uog","gfdl-esm2m","rcp60",1904,57.2062679425837,30.25
"simstrat-uog","gfdl-esm2m","rcp85",1904,57.2062679425837,30.25
"simstrat-uog","hadgem2-es","rcp26",1904,56.6828202581926,30.25
"simstrat-uog","hadgem2-es","rcp60",1904,56.6828202581926,30.25
"simstrat-uog","hadgem2-es","rcp85",1904,56.6828202581926,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp26",1904,57.3639879268063,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp60",1904,57.3639879268063,30.25
"simstrat-uog","ipsl-cm5a-lr","rcp85",1904,57.3639879268063,30.25
"simstrat-uog","miroc5","rcp26",1904,56.2110731194108,30.25
"simstrat-uog","miroc5","rcp60",1904,56.2110731194108,30.25
"simstrat-uog","miroc5","rcp85",1904,56.2110731194108,30.25
"albm","gfdl-esm2m","rcp26",1905,57.5556213859134,30.25
"albm","gfdl-esm2m","rcp60",1905,57.5556213859134,30.25
"albm","gfdl-esm2m","rcp85",1905,57.5556213859134,30.25
"albm","hadgem2-es","rcp26",1905,57.7644996209249,30.25
"albm","hadgem2-es","rcp60",1905,57.7644996209249,30.25
"albm","hadgem2-es","rcp85",1905,57.7644996209249,30.25
"albm","ipsl-cm5a-lr","rcp26",1905,58.1760865676981,30.25
"albm","ipsl-cm5a-lr","rcp60",1905,58.1760865676981,30.25
"albm","ipsl-cm5a-lr","rcp85",1905,58.1760865676981,30.25
"albm","miroc5","rcp26",1905,58.0437454479243,30.25
"albm","miroc5","rcp60",1905,58.0437454479243,30.25
"albm","miroc5","rcp85",1905,58.0437454479243,30.25
"clm45","gfdl-esm2m","rcp26",1905,55.0927108566395,30.25
"clm45","gfdl-esm2m","rcp60",1905,55.0927108566395,30.25
"clm45","gfdl-esm2m","rcp85",1905,55.0927108566395,30.25
"clm45","hadgem2-es","rcp26",1905,55.3080023806947,30.25
"clm45","hadgem2-es","rcp60",1905,55.3080023806947,30.25
"clm45","hadgem2-es","rcp85",1905,55.3080023806947,30.25
"clm45","ipsl-cm5a-lr","rcp26",1905,54.575308078503,30.25
"clm45","ipsl-cm5a-lr","rcp60",1905,54.575308078503,30.25
"clm45","ipsl-cm5a-lr","rcp85",1905,54.575308078503,30.25
"clm45","miroc5","rcp26",1905,55.6558338617628,30.25
"clm45","miroc5","rcp60",1905,55.6558338617628,30.25
"clm45","miroc5","rcp85",1905,55.6558338617628,30.25
"lake","gfdl-esm2m","rcp26",1905,55.7169476533762,30.2499923706055
"lake","gfdl-esm2m","rcp60",1905,55.7169476533762,30.2499923706055
"lake","gfdl-esm2m","rcp85",1905,55.7169476533762,30.2499923706055
"lake","hadgem2-es","rcp26",1905,56.5754600576803,30.2499923706055
"lake","hadgem2-es","rcp60",1905,56.5754600576803,30.2499923706055
"lake","hadgem2-es","rcp85",1905,56.5754600576803,30.2499923706055
"lake","ipsl-cm5a-lr","rcp26",1905,56.1705735373085,30.2499923706055
"lake","ipsl-cm5a-lr","rcp60",1905,56.1705735373085,30.2499923706055
"lake","ipsl-cm5a-lr","rcp85",1905,56.1705735373085,30.2499923706055
"lake","miroc5","rcp26",1905,56.7377742269243,30.2499923706055
